GNI,HDI,Health Index,Poverty,Malnourished Children,CPI,Wealth Inequality,,Health Index,Malnourished Children
9.745,0.718,0.868,69.8,6.03,121.3,0.17,,0.868,6.03
9.118,0.621,0.763,56,8.06,119.7,0.17,,0.763,8.06
9.332,0.674,0.784,59.3,8.32,124,0.19,,0.784,8.32
8.608,0.593,0.74,40.9,9.88,118.6,0.29,,0.74,9.88
8.219,0.549,0.738,31.2,18.1,123.4,0.31,,0.738,18.1
9.568,0.706,0.827,71.8,6.9,121.3,0.09,,0.827,6.9
8.623,0.585,0.731,42.8,13.3,124.1,0.28,,0.731,13.3
9.28,0.674,0.811,57.5,10.2,116.1,0.17,,0.811,10.2
9.675,0.686,0.819,70.6,5.83,124.9,0.15,,0.819,5.83
10.1,0.762,0.847,80.2,8.96,115.8,0.1,,0.847,8.96
9.337,0.642,0.774,62.2,14,126.6,0.2,,0.774,14
9.489,0.677,0.79,67.1,11,119.3,0.15,,0.79,11
9.528,0.697,0.798,67.9,6.56,118,0.13,,0.798,6.56
9.368,0.673,0.798,62.5,6.76,121.7,0.18,,0.798,6.76
8.447,0.579,0.759,37.2,22.4,117.1,0.31,,0.759,22.4
9.213,0.649,0.805,58.1,13.8,119.5,0.18,,0.805,13.8
9.627,0.752,0.875,70.8,5.08,120.6,0.1,,0.875,5.08
9.919,0.728,0.831,76.1,4.37,121.5,0.05,,0.831,4.37
8.601,0.574,0.719,42.3,17.6,121.5,0.31,,0.719,17.6
9.259,0.676,0.812,59.5,12.3,120.2,0.2,,0.812,12.3
9.4,0.706,0.817,58.3,3.12,119.4,0.18,,0.817,3.12
9.305,0.654,0.781,57,14,107,0.19,,0.781,14
10.01,0.704,0.77,75.8,3.84,127.4,0.11,,0.77,3.84
9.679,0.691,0.795,65.4,6.36,128.6,0.14,,0.795,6.36
9.857,0.729,0.812,75.3,7.18,127,0.1,,0.812,7.18
8.473,0.575,0.743,38.4,10.9,121.9,0.31,,0.743,10.9
9.765,0.736,0.841,71.5,11.7,124.4,0.12,,0.841,11.7
9.714,0.696,0.8,72.7,7.4,118.6,0.12,,0.8,7.4
8.913,0.592,0.751,51.1,14.1,120.6,0.26,,0.751,14.1
9.207,0.68,0.823,61.4,4.16,116.2,0.11,,0.823,4.16
9.37,0.684,0.826,61.9,8.18,120.9,0.15,,0.826,8.18
9.391,0.646,0.793,58.6,6.53,117.4,0.23,,0.793,6.53
8.763,0.641,0.798,45.3,8.6,127.9,0.23,,0.798,8.6
8.48,0.567,0.696,39.3,14.1,120,0.31,,0.696,14.1
9.139,0.655,0.778,57.4,11.1,118,0.19,,0.778,11.1
8.661,0.61,0.792,44.1,9.62,120.2,0.27,,0.792,9.62
9.753,0.726,0.869,71,6.27,117.4,0.16,,0.869,6.27
9.247,0.631,0.771,58.1,7.68,120.2,0.18,,0.771,7.68
9.279,0.664,0.799,58.9,7.66,123.6,0.2,,0.799,7.66
8.645,0.599,0.749,41.7,9.54,117.1,0.28,,0.749,9.54
8.322,0.558,0.747,33,17.1,122.7,0.31,,0.747,17.1
9.961,0.737,0.827,77.4,6.7,120.3,0.09,,0.827,6.7
8.768,0.595,0.732,45.1,12.6,123.1,0.28,,0.732,12.6
9.194,0.665,0.812,56.6,11.1,118.4,0.2,,0.812,11.1
9.683,0.693,0.819,70.5,6.17,123.6,0.14,,0.819,6.17
10.06,0.758,0.853,80,9.23,116.1,0.1,,0.853,9.23
